Name,Code,Pre1,Pre2,Pre3,Co,Import,Like
Intro to Programming,CSE 1310,,,,CSE 1105,,
Intro to CSE,CSE 1105,,,,CSE 1310,,
Engineering Problem Solving,ENGR 1300,,,,CSE 1421,,
Calculus I,MATH 1426,,,,,,
Technical Physics I,PHYS 1443,MATH 1426,,,,,
Rhetoric and Composition I,ENGL 1301,,,,,,
Intermediate Programming,CSE 1320,CSE 1310,,,,,
Discrete Structures,CSE 2315,CSE 1310,ENGR 1300,MATH 1426,,,
Calculus II,MATH 2425,MATH 1426,,,PHYS 1444,,
Technical Physics II,PHYS 1444,PHYS 1443,,,MATH 2425,,
Object-Oriented Programming,CSE 1325,CSE 1320,,,,,
Computer Organization,CSE 2312,CSE 1320,,,CSE 2100,,
Practical Systems,CSE 2100,,,,CSE 2320,,
Algorithms & Data Structures,CSE 2320,CSE 1320,CSE 2315,,,,
Databases,CSE 3330,CSE 1325,CSE 2320,,,,
Linear Algebra,CSE 3380,CSE 2315,,,,,
Engineering Probability & Stats,IE 3301,MATH 2425,,,CSE 3320,,
Programming Languages,CSE 3302,CSE 1325,CSE 2312,CSE 2320,,,
Intro to Software Engineering,CSE 3310,CSE 1325,CSE 2315,,,,
Operating Systems,CSE 3320,CSE 2312,,,IE 3301,,
Professional and Technical Communication,COMS 2302,ENGR 1300,ENGL 1301,,,,
Theoretical CS,CSE 3315,CSE 2315,,,,,
Artificial Intelligence,CSE 4308,IE 3301,,,,,
Computer Networks,CSE 4344,CSE 3320,,,,,
Professional Practices,CSE 4314,COMS 2302,,,CSE 4316,,
Compilers,CSE 4305,CSE 3302,CSE 3315,,,,
Computer Graphics,CSE 4303,CSE 3380,,,,,
Robotics,CSE 4360,CSE 3380,CSE 3320,,,,
Senior Design I,CSE 4316,CSE 3320,CSE 3310,,CSE 4314,,
Senior Design II,CSE 4317,CSE 4316,,,,,